"author" "date" "body"
"24" "TheNorthRemembers" 2013-05-24 " what of the great cgi device of the others  referred to as white walkers in the tv series last previously seen in the season 2 finale these are just as impressive as danys dragons imo at the end of episode 8 hundreds of crows filled the nearby tree screeching wildly a white walker or other approached when sam attacked it with dragonglass it howled in pain as its whole body froze from the point of impact it fell and shattered leaving just white dust and the dagger which had become freezing cold the crows flew out of the trees and chased sam and gilly tv got wiki nonspoiler stuff here mentions that the white walkers are a mythological race mentioned in ancient legends and stories from the time of the first men and the children of the forest eight thousand years before roberts rebellion a winter and period of darkness known as the long night lasted a generation in the darkness and cold of the long night the white walkers descended upon westeros from the farthest north the polar regions of the lands of always winter none knew why they came but they killed all in their path reanimating the dead as wights to kill the living at their command eventually they were defeated supposedly by the nights watch in a conflict known as the war for the dawn and the wall may have been raised as a defence against them the white walkers are supposedly not heard of again and became regarded south of the wall as nothing more than fairy tales to frighten the little children so in the present day most believe they never existed and are held to be the stuff of myths and legends spoken of in the same breath as ghosts goblins grumpkins and snarks even the few who believe they did once exist think that they must have become extinct thousands of years ago but there is a growing belief amongst wildlings living beyond the wall that the white walkers have returned what is known about themthe white walkers are taller than humans and gaunt with flesh pale as milk and icy blue eyes deeper and bluer than human eyes burning like ice as bright as blue stars and as cold they are humanoid but with wispy white hair and pale white skin stretched and gaunt the skin seems dry and wrinkled giving them a mummified appearance a wight will also possess icy blue eyes when resurrected by a white walker white walkers possess the magical power to reanimate the dead as their servants known as wights men who fall in battle against white walkers must be burned or else the dead rise again as their thralls white walkers wield weapons that have thin blades made of extremely sharp crystal they wear reflective armour that shifts in colour with every step and appear to be superior swordsmen wielding thin crystal swords said to be so cold as to shatter any object they touch including the steel blades favoured by the nights watch the sword of the white walker that samwell tarly slew gleamed with a faint blue glow the white walkers go lightly on the snow and leave no prints to mark their passage their movements can be lighting quick the wildlings believe the white walkers and their wights can smell life or rather its warmth there are tales of their riding the corpses of dead animals such as horses they are also said to ride ice spiders and speak a language known in myth as skroth at the end of season two sam sought refuge behind a rock whilst a white walker appeared leading a horde of wights the white walker saw sam but ignored him riding past him on an undead horse and leading the horde towards the fist there was a complete redesign of the white walkers between the early concept in season 1 and the fully revealed version in the season 2 finale the final version introduced at the end of season 2 was closer to how they appear in the books some differences remain in that white walkers are said to wear much more armour in the books made from a strange reflective metal that almost acts like camouflage the white walkers in the books are described as gaunt but the tv ones dont seem to have quite so much of a mummified appearance they are said to have an otherworldly icy beauty to them and grr martin has confirmed that the white walkers are not dead just an inhuman kind of life not unlike the barrowwights of tolkiens middleearth they play tricks too mance rayder referred to them as always the artists in his comment in a previous tv show scene on their habit of arranging the bodies of the dead into patterns "
"25" "nickc909" 2013-05-24 " nickc909 merlin  arthur  doctor who for arthur i meant robin hood "
"26" "nickc909" 2013-05-24 " sybarite2006  the shadow line was very good "
"27" "nickc909" 2013-05-24 " sybarite2006  exactly why would you want the bbc to make got theyd only fudge it up and make it like merlin  arthur  doctor whoin other words make it kid friendly or even worse sunday night friendly "
"28" "TheNorthRemembers" 2013-05-24 " nzerdan  dont the wildlings worship the old gods the weirwoods no not to the best of my knowledge do you think the wildlings have gods nzerdan  melisandre named stannis the lords chosen if stannis thought he was being conned he would have throttled her on dragonstone at the end of s2 stannis believes in her as he has seen the vision and her magic does work i dont think stannis thinks hes being conned but as pointed out by someone on the blog this week if she can get royal blood elsewhere might she decide to dispense with him so he might now be more wary of her hes also clearly more reliant on advice from davos so there is a rebalancing of power here between the red witch and davos will she and davos be able to work together the leeches method of bloodletting is a less drastic form of sacrifice and i think davos rejection of the plan for stannis to kill anyone of his own blood kinslay has let gendry off the hook  for now watching the bedroom leeches scene i did wonder if gendry might die one of the benefits for book readers is that the tv series is not sticking rigidly to the storyline gendry is not at dragonstone in the books so readers also have the same feelings of foreboding that nonreaders have but to get back to the questioncomment my suggestion is still that melisandre might be struggling to persuade stannis of her power to see accurately into the future im sure he believes in her but hes also uncertain of her isnt he woof 73 does encapsulate his unease about her brilliantly in the stannis letters "
"29" "5432Hun" 2013-05-24 " acertainbang  when the old septa  if this was a question old nan isnt a septa just an old winterfell resident shes related in some way to hodor though from memory i cant remember what the relationship is i didnt realise until someone pointed it out a few blogs ago that she was played by margaret john who also played the doris the next door neighbour in gavin and stacey sadly now passed away "
"30" "Nepenthe" 2013-05-24 " sunnyone  yeah in the series its definitely a threeeyed raven httpgameofthroneswikiacomwikithreeeyedraven although i agree it should be a threeeyed crow "
"31" "TheNorthRemembers" 2013-05-24 " acertainbang  when the old septa  is telling bran stories as hes bedbound at winterfell she talks of white walkers and their ice spiders as big as hounds cant imagine they have too much trouble with the wall either being spiders and all very little is known of the ice spiders whilst book brans account of his old nans tales from book 1 mentions them as packs of pale white spiders big as hounds and the others smelled the hot blood in the hero and came silent on his trail stalking him an extra comment on the icespiders comes from the third book and the pov of samwell tarly during the march back to crasters keep after the battle at the fist of the first men already covered by tv series so not spoilerish at that point sam also recalls the monsters of the tales that had made him squeak and tremble as a boy the white walkers of the wood the cold shadows riding their giant icespiders hungry for blood the ice  fire wiki beware spoilers if you go there suggests that the others may use the packs of ice spiders to hunt their quarry they may be native to the lands of always winter or may be created by the others so whilst not exactly spiders from mars these creatures of myth and legend are certainly from another world and are closely associated with the others your suggestion that they might climb the wall that would certainly be impressive "
"32" "NZerDan" 2013-05-24 " thenorthremembers  melisandre named stannis the lords chosen if stannis thought he was being conned he would have throttled her on dragonstone at the end of s2 stannis believes in her as he has seen the vision and her magic does work however odd her ways may be to him dont the wildlings worship the old gods the weirwoods "
"33" "ntofr1" 2013-05-24 " pepa01  all good points though i had never really thought about point 4 before which seems really silly and obvious to me now i shall be withdrawing to my thought chamber to consider this jimmymac  again theres something else i hadnt considered that she might be working for the other side as it were and the magic demonstrated speaks to this i think a line she had last season about shadows being a tool of the light or words to that effect made genuine sense to me so i never considered the alternative to what she says thenorthremembers  love these nuggets you dig up and share "
