"author" "date" "body"
"267" "Bluedylan" 2013-05-22 " johndear  is it fair to say that everyboy who has said valar morghulis is a follower of the red god so its a calling card greeting for the lol followers rather than being just a thing that people from braavos say does everyone from braavos follow the red god have we ever seen braavos in the show and where is it on the map guess i can check that last part out "
"268" "Bluedylan" 2013-05-22 " singist   a man agrees with a woman "
"269" "CautiousOptimist" 2013-05-22 " deletethispost  i saw you use the correct term completely meaningless quibble but it is called memorial day weekend "
"270" "damnfool" 2013-05-22 " as for those leeches it surely doesnt bode well for balon robb and joffrey given that melisandres blood magic appears to work only too well theres a line like this in every weeks review dont know about anyone else but knowing youve read the books the fauxspeculation whether its accurate or weirdly intentionally unaccurate jars a bit sorry for the whinge though at least its not a moan about the day the blog is posted which is boring as hell couple of other things theyve made margaery far too overtly machiavellian youre never sure exactly what shes up to in the book as her tale is told largely through cersei who naturally assumes the worst there are subtle hints and implications that shes more than the nice girl she seems but the show seems to want to sledgehammer it into your face interesting that theyve amalgamated some of the sellswords as the titan is dead its a shame that we wont see barristan vs titan in barristan the badass with a stick mode was one of my favourite moments and im guessing daario will be a combination of daario and brown benn as the stormcrows dont seem to exist and of course the inevitable consequences of combining the two "
"271" "Zepp" 2013-05-21 " scandibaby 21 may 2013 1022pm get ciffix for firefox given his family tyrion probably sleeps much the way the hound does and had joffrey shown up might have opened one eye and said ill give you one chance to use that boy "
"272" "sailthedarkenedseas" 2013-05-21 " blackmistacg  i think compared to the effort required to kill someone with a wraithbaby leeches will not be enough to kill such important players hopefully it will be enough to visit some misfortune on them or make them vulnerable "
"273" "Zepp" 2013-05-21 " did anyone notice that after he killed the whitewalker and he and gilly fled he left the obsidian blade behind is that significant "
"274" "rickyredmanc" 2013-05-21 " sybarite2006  i dont know where you got your info from to be fair to the beeb they had more than 10 input with rome the beeb did the casting the locations and the sound recordingmusic i know coz an old mate from uni worked on that show on both series there was also a strong italian input too "
"275" "sailthedarkenedseas" 2013-05-21 " zoggers  the beeb doesnt have 80 million to spend on 1 programme the cost of sports coverage says otherwise the beeb needs to take risks move away from lark rise to candleford if the will is there it can be done "
"276" "anonnyscouse" 2013-05-21 " mikebhoy  its not just bbfc though that governs british film classification but its the american version too and with the staunch christian belief of a large proportion of the population not judging just stating fact its likely they will have strict rules regarding classification and legality it may also be different for tv and film not sure about that though "
"277" "singist" 2013-05-21 " bluedylan  a man is told he is awesome a man should be written back in to the show "
"278" "TheNorthRemembers" 2013-05-21 " sandyra  pepa01  read the books sheesh er noone here has any business telling someone else to read the books this is a tv blog if you have read the books fine otherwise please do desist  "
"279" "RedCat21" 2013-05-21 " singist  was he wearing fringed sleeves i live in belsize park so i promise ill tell him to man up if i see him in budgens "
"280" "singist" 2013-05-21 " redcat21  i was on the bus the other day and the actor who plays loras got on at kentish town he had a big bag from argos there are some things one should never see "
"281" "TheNorthRemembers" 2013-05-21 " greenseer  pretty sure it was an unkindness of ravens  someone elsewhere on here posted a crows v ravens spotthedifference youtube clip they have to be crows "
"282" "anonnyscouse" 2013-05-21 " thenorthremembers  not sure if they come to the fore until the middle of book 3 do they certainly leaving dorne out of the equation will complicate future storylines also the other greyjoys i believe will be influential though not yet in books on two major characters journeys so itll be more complicated to leave them out too "
"283" "TheNorthRemembers" 2013-05-21 " anonnyscouse  doesnt seem much point in returning to yara and balon without the new characters round them the dorne and iron islands characters seem to be in abeyance maybe they are being virtually omitted altogether there are so many plots houses and themes that it may all be too much for the tv series to cover without confusing everyone "
"284" "mikebhoy" 2013-05-21 " anonnyscouse  actually im not sure it is illegal i certainly read somewhere an interview with the bbfc where they confirmed the mull of kintyre rule was urban legend regardless of strict legality it would be a highly unlikely move for any director or commissioning studio to approve "
"285" "singist" 2013-05-21 " sunnyone  so did i i havent checked though coz im lazy "
"286" "anonnyscouse" 2013-05-21 " sunnyone  glad to hear it thought it was getting a bit serious and off topic so i thought that was the perfect way to bring it back "
"287" "TheNorthRemembers" 2013-05-21 " simon thomson  after the stuff a few weeks ago about that poor chap being brought back to life by the drunk chap names not a strong point here im thinking that mels got it all wrong about who the lord of lights chosen one is and her magics a bit titsandmirrors  true there is an interesting power play here thats not in the books  between thoros of myr and melisandre  who might turn out to be the more powerful "
"288" "damnfool" 2013-05-21 " in the first scene where arya is caught with rock in hand by sandor  am i the only weirdo that chuckled and thought of the ice age squirrel with its acorn there was something very comical about the look on aryas face when the hound says ill give you one try girrrl d "
"289" "sunnyone" 2013-05-21 " anonnyscouse  now youve made me laugh "
"290" "Kirjava13" 2013-05-21 " nickc909  i think youve got the right of it remember the battle of the blackwater after tyrions wildfire boat explodes taking a substantial part of the invasion force with it stannis goes all ahead full and damn the torpedoes one of his lieutenants protests that hundreds will die if they continue the attack to which stannis just says thousands he can inspire courage by being willing to do no less than his men but i doubt their deaths trouble him overmuch "
"291" "anonnyscouse" 2013-05-21 " thenorthremembers  shes clearly been aged up on the series too then the conversation with sansa was like a much older sister giving advice than there just being a couple of years between them "
"292" "scandibaby" 2013-05-21 " greenseer  i believe tyrion deliberately exaggerated his drunkenness although he was clearly drunk and dinklage is not to blame for chewing the scenery that said i was a bit disappointed when he said to my watch and then passed out i thought he needed to stay awake to stave off joffrey from raping sansa "
"293" "TheNorthRemembers" 2013-05-21 " anonnyscouse  sansa was 11 in books 14 on tv arya was 78 in books but 1112 on show bran was 67 in books 1011 on show rickon was 18 months in books about 34 on show margaery is 16 in the book "
"294" "scandibaby" 2013-05-21 " sybarite2006  i hope not cannot imagine a better production with the same caliber of actors  brian blessed derek jacobi john hurt just to name a few "
"295" "scandibaby" 2013-05-21 " johndear  i agree syrio will turn up i just feel it "
"296" "marccunningham" 2013-05-21 " this comment was removed by a moderator because it didnt abide by our community standards replies may also be deleted for more detail see our faqs "
"297" "scandibaby" 2013-05-21 " elspeth25  just had an image of liam neeson screaming bring out the leeches "
"298" "anonnyscouse" 2013-05-21 " greenseer  and the brothel scene from last week if youre watching bbc4 rerun would be frustratingly long and graphic "
"299" "Zoggers" 2013-05-21 " greenseer  if you think daario naharis is a pantomime character in the show type his name into google images to see what he looks like in the books "
"300" "anonnyscouse" 2013-05-21 " sunnyone  id think so i think there is some growing and the natural lubrication getting wet but youd have to get the camera in jons mouth to see id think "
"301" "Zoggers" 2013-05-21 " sybarite2006  the beeb doesnt have 80 million to spend on 1 programme theres a reason only hbo make stuff like game of thrones hell the bbc contributed 15 million to the development of rome but panicked and bailed out after 1 season which killed the whole show "
"302" "scandibaby" 2013-05-21 " bluedylan  patrick malahide brilliant actor played the lead detective roderick alleyn in the ngaio marsh mystery series also causabon in middlemarch "
"303" "scandibaby" 2013-05-21 " pickershillpirate  freddy mercury could have played a part in got "
"304" "scandibaby" 2013-05-21 " naqshbandi  bite your tongue jackson totally ruined the hobbit and thats just the first of three movies "
"305" "Crooky" 2013-05-21 " dsk84  same here "
"306" "blackmistacg" 2013-05-21 " did joffreys leech explode when the others robb and balon didnt if so i have some theories theories as to why 1 joff is set to die sometime soon2 joff is the true usurper and has least claim to the throne3 i am completely wrong and the explosion has no bearing on the plot what do you guys think "
"307" "Simon Thomson" 2013-05-21 " seriously hes just learned to read and he can do words like though enough and whole more easily than he can read dragon whos been teaching davos "
"308" "Simon Thomson" 2013-05-21 " sarahhughes  i thought the burning of the leeches  on which the camera focused for a while  was strangely noneventful and assumed this was part of the first failure of the lord of light after all that sexysexy horror and the long bass notes the longer note the more dread as peep show tells us you just have some first version clash of the titans writhing mechanical thingies with a bit of blood popping out with that long long shot of the leechy fire i though we might get a vision or some different colours or something especially following on from stannis explaining earlier what convinced him a battle in the snow how is that convincing to someone where he is sounds like bilge to me the sinister build up was mostly missed by stannis and davos who just popped in to a ridiculous and fairly unspectacular scene davos would probably have more to say about melisandres body than the magic after the stuff a few weeks ago about that poor chap being brought back to life by the drunk chap names not a strong point here im thinking that mels got it all wrong about who the lord of lights chosen one is and her magics a bit titsandmirrors "
"309" "BlueCalx" 2013-05-21 " scandibaby  very true sometimes i think that jaime is playing transgression bingo and we havent even mentioned his somewhat unconventional lovelife i seem to remember us having a good discussion about jaime here during s2 specifically his particular brand of nihilism having lived by the sword for so long he no longer really fears death in fact there are times when i think hed actually welcome it i can see this in his attitude to transgressive behaviour hes already being punished for offing the mad king no point in worrying about crossing any lesser barriers kinda live by the sin die by the sin the silly messedup sod "
"310" "Simon Thomson" 2013-05-21 " bluedylan  i think its interesting that cerseis guard slipped at a time when were so focused on poor sansa and so conscious of her guard thanks to what i think has been some pretty terrific acting  its not easy to perform as someone whos performingbuttheaudienceknowitsperforming were a little bit reminded as we have been a couple of times with margaerycersei interactions that theres a real cersei under there just as theres a real sansa under there i wonder if theres a real margaery anywhere and whether its the real lady of thorns we see all the time do all women south of the wall have to hide all the time in this world is that part of what danys supremely unhidden but she has lost a fair amount of what made her who she was earlier on scene with daario was about "
"311" "MRONeill" 2013-05-21 " greenseer  true hopefully shell finally realize this time around when someone actually has her interests in mind "
"312" "TheNorthRemembers" 2013-05-21 " sunnyone  im puzzled as to what aroused female genitalia looks like  and im a female  wouldnt you have to get up really close is this turning into another vagina monologues  "
"313" "Greenseer" 2013-05-21 " previous posters have made most of the points i wanted to make so ill keep this brief aryahound absolutely adorable opening i actually got a lump in my throat when i saw how she had her little arm round him and the fact that she refused to show him her smile of happiness when he told her he was taking her to mum and robb dragonstone it had dillane in it nothing more needs to be said from me well except for the fact that our davos has become ned with balls love the man kl wedding perhaps im a bit of a curmudgeon today but i thought the dink chewed the scenery a bit and i was less than convinced with his performance he delivered the killer lines beautifully as always though so ill forgive him sophie was quietly magnificent of all her looks the murderous one she gave joff reminded me of season 1 when he made her look at neds head samgilly these two are becoming a joy i wasnt convinced by hannah murray last year but in fairness she had little to do i think shes the perfect foil for sam now yunkai oh dear again i am probably in the minority here but i winced a bit when the three mercenaries came in there does seem to be a preponderance of pantomime characters in essos and did no one else see vinny jones in mero total cliche emilia did her best to be dignified and i was also outraged for poor missandei but all in all a wellpaced episode but then i didnt mind last weeks  i dont need there to be constant action im more interested in people and their relationships anyway and the wedding looked gorgeous two bloody weeks im not amused and thanks to sarah for the blog as always and our regular early posters who cheer me up on a monday afternoon at work "
"314" "Dryhtscipe" 2013-05-21 " sydneysider28  seems to me that shae is much more pissed off about tyrions wedding than she has any right to be considering that she must know that something like this would happen one day as he would always be needed for a strategic marriage knowing something is probable and actually dealing with the probable event when it arrives are entirely different things i for example being a realist am aware that one day my penis may stop functioning the way i enjoy it to function this knowledge will in no way decrease my fury should the day ever arrive "
"315" "sunnyone" 2013-05-21 " sybarite2006  im not offended by erect cocks but i think youll find as others have already pointed out that its simply illegal to show themanonnyscouse  im puzzled as to what aroused female genitalia looks like  and im a female  wouldnt you have to get up really close "
"316" "Greenseer" 2013-05-21 " sybarite2006 ive read on imdb that the people who made rome are going to do a remake of i claudius how awesome will that be please god no claudius was perfect as it was oh for the days when a script and acting were what counted the most actually  im half joking with you it would be interesting to see what a modern production would be like but i can imagine julias shenanigans would be rendered in full graphic detail  yawn "
"317" "Aelfwine" 2013-05-21 " sunnyone  yeah well if fully naked women and someones finger being cut and flayed are fine with the broadcasting authorities but a penis isnt then maybe the broadcasting authorities need to rethink their priorities a wee bit "
"318" "frangipani0" 2013-05-21 " dsk84  me too was disappointed when i realized he wasnt dario "
"319" "Greenseer" 2013-05-21 " sybarite2006  im pretty sure erect cocks constitute actual pornography sybarite2006 from a legal point of view "
"320" "Aelfwine" 2013-05-21 " sybarite2006  i dont know i think the show has made some characters more ambivalent actually thinking of cersei and theon in particular but its true some of them have been flattened in the transition from book to show "
"321" "anonnyscouse" 2013-05-21 " sybarite2006  i dont think many people would be offended these days but its the law also applies to females in that the genetalia is not allowed to be shown as aroused its much easier to show females fully naked in sexual situations without showing that much detail male arousal is obviously more pronounced so harder to hide with full nudity "
"322" "Greenseer" 2013-05-21 " sunnyone  so am i "
"323" "NZerDan" 2013-05-21 " crooky  thats a good point "
"324" "sybarite2006" 2013-05-21 " actually this series is so good it has got me thinking why the bbc or the beeb together with some eu nations cannot make an adaptation like thisthough the tudors was pretty good as was rome which was still 90 hbo and 10 bbc ive read on imdb that the people who made rome are going to do a remake of i claudius how awesome will that be "
"325" "BlueCalx" 2013-05-21 " deletethispost  ha ha good spot i think that really really violent bit in rome where they defend the honour of the xiii is the best example of them being unstoppable together also on the sellsword point i always imagine bronn being up for pullos bloody good orders re cleopatra "
"326" "sybarite2006" 2013-05-21 " what i love about the books and the show is that the characters are all pretty much morally ambivalent  more so in the books but still its nice to see a tv show where you dont have unrealist good guys and purely evil baddies "
"327" "NZerDan" 2013-05-21 " johndear  good spot from s1 with arya and syrio she doesnt forget that girl "
"328" "sybarite2006" 2013-05-21 " sunnyone  i really dont see why an erect or semierect penis should be an issue for a show that comes on a paychannel and is clearly aimed at adults in 2013 we are still offended by erect cocks dear me "
"329" "Greenseer" 2013-05-21 " 5432hun  have to agree about the yunkai scenes this week very clumsy very hammy thank the gods barristan and jorah were there to add a little gravitas my disappointment was more marked because danys scenes have been among the best hitherto this season after the debacle that was qarth last year im not looking forward to more daario at all "
"330" "sybarite2006" 2013-05-21 " sandyra  i agree with you that they should show an equal number of cocks as they do female private parts i "
"331" "anonnyscouse" 2013-05-21 " ideologue  agreed i had a minirant at a spoiler earlier but didnt do it as a quote or a reply so noone could see what i was referring to but if the person who did it read the rant theyd know it was them "
"332" "sybarite2006" 2013-05-21 " it is a great show  possibly the best tv adaptation of a fantasy novel ever "
"333" "NZerDan" 2013-05-21 " crimsontree  hang on didnt sam piss himself at the end of s2 when he saw them for the first timenot that i blame him there were a few "
"334" "Greenseer" 2013-05-21 " thenorthremembers  you may be too late singist did you note that arya had her arm around him  whilst on horseback admittedly that for me was a gorgeous touch we were meant to see it too when the camera deliberately panned behind them "
"335" "Greenseer" 2013-05-21 " thenorthremembers  pretty sure it was an unkindness of ravens  "
"336" "Greenseer" 2013-05-21 " clariana  i agree i have to keep biting my tongue especially regarding one of the characters "
"337" "NZerDan" 2013-05-21 " ninnyhammer  stannis warned catelyn in the parley with renly in s2 that he is the true king that even ned supported his claim they will bend the knee or i will destroy them all i think was what he said i dont really want to refer to the books but since this happened in s2 i will catelyn feared stannis deeply in acok and was very concerned by how resolute he was for robbs sake "
"338" "Greenseer" 2013-05-21 " mroneill  well if you cast your mind back to last season she did say to the hound you wont hurt me and the wonderful sandor replied with no little bird  i wont hurt you so technically tyrion wasnt the first sorry  im in pedant mood "
"339" "naqshbandi" 2013-05-21 " sandyra  even though im a hetero male i second that i wouldnt even mind if they show the ocassional semierect or erect penis to be honestwhy not in 2013 ffs i bet if it was a european production directed by lars von trier wed have hardons all over the place in that respect spartacus didnt give you ladies a cause for complaint "
"340" "Greenseer" 2013-05-21 " mzorin  that was my favourite line of the night too "
"341" "NZerDan" 2013-05-21 " ninnyhammer  yeah it does seem cruel but robb as stannis says has claimed nearly half his kingdom the north which is huge a man like stannis wont forget that what is worse though robb was egged on into being a king by his bannermen but he did not have to accept it "
"342" "Greenseer" 2013-05-21 " 5onthe5   i know this is a very old debate but got only ended 3 minutes ago on uk tv and theres already 284 comments only the most recent one of which was posted in those 3 minutes its a bit discouraging in terms of joining in the discussion that is all i can understand this to a point by the time ive watched and read everyones wonderful comments here most of the points i wanted to make have already been made but i actually see this blog and our american cousins first take on things as part of my enjoyment of the whole thrones process and theres always something to comment on "
"343" "NZerDan" 2013-05-21 " drewv  no i am really crap at typing classic one index finger only kind of a bloke which is why copy  paste was invented my friend "
"344" "sunnyone" 2013-05-21 " captainellie  didnt she mean the unsullied "
"345" "sunnyone" 2013-05-21 " sandyra  elsewhere someone has mentioned that there is a unique problem with showing naked men simulating sex in that being human and presumably capable of being turned on they may look more authentically enthusiastic than the broadcasting authorities allow if you get my point "
"346" "Greenseer" 2013-05-21 " zombiedeadhead  hes unworthy hes unworthy "
"347" "Cosmonaut" 2013-05-21 " gollardofarabia  to be fair to sam in the books the dagger shatters after he stabs the walkerrendering it unusable again well that wouldnt have been too hard for the programme makers to have replicated and now because of their lack of foresight possibly the best episode of the season has become marred with a myriad of voices all saying why didnt you pick up the bloody dagger sam "
"348" "Greenseer" 2013-05-21 " jennifera30  in fact everyone was great except for daario even i wouldnt get my dragon loving heart in a spin over him and i am desperate dany you could do so much better just because someone brings you a bag of heads doesnt mean you have to put out couldnt agree more in fact i have been calling that scene dany and the pantomime villains all day im a massive dany fan books and show for the most part but i can see some fastforwarding of scenes coming up in the near future if the douche bag hangs around "
"349" "sandyra" 2013-05-21 " pepa01  read the books sheesh "
"350" "Greenseer" 2013-05-21 " ninnyhammer  i think were meant to see how religious fanaticism can unhinge the most just and sober ruler  that is at least my own take on stannis ridiculous adherence to mel and her tricks as to him wanting the field swept of his rivals that is quite understandable stannis sees himself as the one true king of the seven kingdoms as roberts heir he doesnt want to be the king of dragonstone with robb the king of the north and balon the king of the iron islands robert ruled all westeros stannis wishes to do likewise i doubt he will ever shift from this stance "
"351" "anonnyscouse" 2013-05-21 " turinsday  doesnt seem much point in returning to yara and balon without the new characters round them doesnt seem much point introducing new characters right at the end of the season i think first episode season 4 to reintroduce yara and balon and introduce others and then plot twist within a few episodes "
"352" "Greenseer" 2013-05-21 " scandibaby  ah but as a shapeshifter of sorts jaqen could become daario i dont know that that is true havent read past half of book 3 but its not impossible so dont be too judgmental about speculation thanks for this scand i must admit as i know various things it is very easy for me to jump all over peoples speculations here i think what i was getting from the thread though was that a few people actually posited the theory that the same actor had been cast d "
"353" "Cosmonaut" 2013-05-21 " sandyra  in season 1 we did get to see theons cock but i doubt theres going to be a repeat appearance "
"354" "sandyra" 2013-05-21 " i am tired of seeing naked women yes i know i am in the minority however i want to see some naked full monty men equal views please im not into naked women but naked men would be very welcome even the ones who wouldnt make it into playgirl "
"355" "sunnyone" 2013-05-21 " nepenthe  i dont remember it being a three eyed raven in the series i thought it was a three eyed crow "
"356" "CaptainEllie" 2013-05-21 " pedantic moment dany actually said that a fortnight ago she didnt have an army pedantic moment over "
"357" "TheNorthRemembers" 2013-05-21 " ninnyhammer  stannis wishing balon greyjoys and robb starks death with an act of sacrifice seems removed from his portrayal otherwise we are talking about an honorable man who punished davos by chopping his fingers for being a smuggler and then rewarding him for his action joffery and renly defied him when given a chance but robb and balon havent really been given an honest chance to state their case or state their claims this in my opinion is inconsistent with stanniss nature or a character flaw that would make him lose all the respect that people like davos would have for him i think that to stannis its merely a matter of lords declaring themselves kings as balon and robb did as i said earlier it was maybe a mistake for robb to do so his father ned might have counselled against him doing so it was robbs bannermen that persuaded him to declare himself king of the north rather than him seeking glory himself but heres how grrm describes stannis cursing the three kings with voodoo leeches page 501 book 3 storm of swords part 1 steel  snowstannis – “… not the boy … he is my own blood”melisandre – “your brother’s blood a king’s blood only a king’s blood can wake the stone dragon”s – “i’ll hear no more of this … the dragons are done…you have the leeches do your work”m bowed her head stiffly… “as my king commands”  she flung powder in the brazier… she retrieved the silver dish davos watched her lift the lid beneath were three large black leeches fat with blood the boy’s blood book es’s blood davos knew a king’s bloods stretched out a hand and his fingers closed around one leech“say the name” m commanded“the usurper joffrey baratheon” he said and tossed the leech into the fire …s grasped the second “the usurper” louder this time “balon greyjoy” the blood burst from it hissing and smoking the last was in the king’s hand this one he studied a moment as it writhed … “the usurper … robb stark” and he threw it on the flames "
"358" "Turinsday" 2013-05-21 " anonnyscouse 21 may 2013 118pm get ciffix for chrome i think either is likely i imagine that a fairly strong switchover in screen time from one house to the greyjoys will have to happen rather like it did in the books for a spell just to keep things progressing without confusing people "
"359" "sunnyone" 2013-05-21 " katharinep  im with you on this katharine "
"360" "Silgen" 2013-05-21 " redcat21  emails are so old fashioned the cool kids in westeros communicate via facebook "
"361" "Dryhtscipe" 2013-05-21 " dracarys  it may also have been a form of punishment for stannis its not like hed have had any confusion as to why she was in the nude when he came in "
"362" "DiddleyDum" 2013-05-21 " moretears  maybe theyll just hire grrm to write the novelisation d "
"363" "KatharineP" 2013-05-21 " clariana  just shows how subjective these things are im not aware of ever having seen the actor before but by the time the character had been on my screen for two minutes with his annoying little smile and knowing twinkle in his eye id cheerfully have beheaded him myself to join his brothers shame about ferdy though easy come easy go "
"364" "TheNorthRemembers" 2013-05-21 " pdmalcolm  was stannis aware that murder of renly was going to happen yes he and melisandre planned it in series 2 prior to the battle of blackwater "
"365" "MoreTears" 2013-05-21 " moreisless  of course now that a got producer is saying that they are looking at only going seven seasons in total the tv series will likely be ending in 2017 and that will probably be before martins final book is even published a lot of books four and five will simply have to be ignored and book 6 might be published too late to make any use of it so benioff and weiss are going to have to make up a lot of stuff  unless martin gives them guidance about what he would like to see "
"366" "hazh" 2013-05-21 " pickershillpirate  fried chicken more like "
"367" "TheNorthRemembers" 2013-05-21 " clearici  french sleeves they were fringed sleeves not french ones ffs  "
"368" "Cosmonaut" 2013-05-21 " ntofr1  blimey it rather looks like the tide has turned with regards to your views of danys plot line is a welcome to the other side in order ha ha no admittedly her plot line has become more interesting now that she has an army but it still feels like its a sideshow to the main event she didnt even warrant her own leech no doubt a smug book reader will be along shortly and dripfeed in some spoilery information about her becoming more relevant in the future which isnt really necessary  she has to be getting a lot of screen time for some reason still cant be doing with the mother of dragons schtick and dragons are just a bit too well dungeons  dragons for my taste white walkers wall taking the black thats still more my taste when we zoom around the map during the credits and we move to the wall i cant help but go yay "
"369" "TheNorthRemembers" 2013-05-21 " thecoordinator  sunnyone 21 may 2013 946am sorry but where did this kinslayer thing come from jaime lannister is known as the kingslayer which is a totally different kettle of fish in my increasingly useful researches on got religion ive found out that along with the old gods the faith shares several basic social rules against incest kinslaying and bastardy kinslaying is a great taboo in westeros and any member of a family that kills a relation is dubbed a kinslayer and ‘cursed forever in the sight of gods and men’ so usually looked down upon or shunned ‘no man is so accursed as the kinslayer’ kinslayers we have seen in the tv seriesrobb stark rickard karstark calls robb a kinslayer at his execution due to the blood ties between starks and karstarks stannis baratheon he conceived a shadow assassin with melisandre that went on to slay his brother renly his maester cressen considered the thought of killing renly ‘fratricide… my lord this is evil unthinkable’ if gendry is kin then killing him too would also prey on stannis’ mind as it would be kinslayingjaime lannister who killed a cousin as mentioned already there are also rumours in westeros that gregor clegane killed his father sister and his first two wives "
"370" "JohnDear" 2013-05-21 " cariad007  a slight casting glitch great as iain glenn is in the books its much more obvious why dany doesnt go for jorah thick necked squat and hairy an uglier version of his father jeor "
"371" "JohnDear" 2013-05-21 " pepa01  i think the reason dario says it is simply because in the coin game the game to choose who kills dany the braavosi coin is the winner and braavos is unusual in that it only has one god and that god is death so the death coin is the braavosi one why melisandre and thoros said it as a greeting last week i dont know in the books its a phrase specifically associated with braavos "
"372" "anonnyscouse" 2013-05-21 " dk4886  actually like all the young characters robb jon sansa bran rickon  theon not sure about joffrey tv dany has been aged up from the books book robb jon dany  theon are 1314 but all are about 1819 in tv version sansa was 11 in books 14 on tv arya was 78 in books but 1112 on show bran was 67 in books 1011 on show rickon was 18 months in books about 34 on show "
"373" "TheNorthRemembers" 2013-05-21 " thenorthremembers  corrected by a link below  they were a murder of crows they were not ravens "
"374" "scandibaby" 2013-05-21 " woof73  my lord your return has long been anticipated so i was thrilled with your extended appearance in this reality show called game of thrones your points are wellmade ahem the red bitch is playing her own game and you indeed might be her lamb ready to be slaughtered perhaps you need a blade of dragonglass to shatter her icy heart take care and do not fail to call upon your willing servants myself included by the way id love a tour of the map room "
"375" "BaronVonH" 2013-05-21 " redcat21  either that or olaygriund is a new model of book shelf from ikea "
"376" "TheNorthRemembers" 2013-05-21 " scandibaby  melissandre states it is to pass a test to prove the power of the blood to davos and of course stannis so she does not seek all his blood just some of it but that was a change to her original sacrifice and use of es plan might gendry as roberts bastard now have a claim to the throne since joff and his sibs are not trueborn children of king robert i cant see that stannis has a superior claim and if the curse of the three leeches works for melisandre might gendry claim his blood has something to do with it and stake a claim "
"377" "BaronVonH" 2013-05-21 " singist  at that moment i was wondering how many of those crows had wargs behind their eyes viewing the proceedings since the crows dissipated before the slaying of the white walker any wargs that were watching only got part of the story "
"378" "grandcanalman" 2013-05-21 " agree about dany not my favourite pov in the books but this series emilia has played her really well helped as well by the early reveal of barristan and his dynamic with jorah at this rate i could put up with a whole series of the meerenese knot "
"379" "BaronVonH" 2013-05-21 " moretears  what i appeciated most about this scene was the hope that this was to be the only torture scene in the episode glad that my hope was affirmed and theon and captor did not show up later in the episode "
"380" "TheNorthRemembers" 2013-05-21 " acertainbang  dont burn them or put salt on them as this causes them to vomit into your bloodstream  fascinating i never knew this and a friend has told me the same applies to ticks burning a tick into submission is the most popular removal method but also the worst the likelihood of contracting lyme disease or another infection rises steeply after 24 hours  traumatising the insect with heat or too much force also carries the risk of making it regurgitate further increasing the likelihood of infection the proper removal method grasping the pest as close to the skin as possible with tweezers then gently pulling it straight up remaining pieces should be pulled out and the site cleaned with disinfectant smothering vaseline or nail polish on a tick is also a bad idea since it can be hours before it dies from suffocation presumably also vomiting  some doctors also recommend taking antibiotics to ward off infection so never remove a tick or a leech by burning them even to make a wish "
"381" "hazh" 2013-05-21 " mroneill  im guessing that actors are simply less willing to bare it all than the actresses are in the case of gendry he was supposed to be excited and unlike women a male actor cant act excited when he is fully exposed without it going into porn territory "
"382" "grandcanalman" 2013-05-21 " such strong acting throughout this series emilia gets better and better and is more suited playing dany the woman and leader as opposed to dany the girl stephen dillane has the crazed and authoritative stannis to a tee very good episode joffrey brilliantly horrible at the wedding "
"383" "embolalia" 2013-05-21 " bluedylan  your friends are right episode 9 has been dramatic in both previous series and s3ep09 will definitely not disappoint "
"384" "Sinequanone" 2013-05-21 " cariad007 21 may 2013 422pm get ciffix for firefox well im a hetero male but i have a soft spot for him too so to speak  "
"385" "jimmy_mac" 2013-05-21 " moreisless  i wholeheartedly agree that would be a supersatisfying conclusion "
"386" "DiamondDag" 2013-05-21 " enjoyed that a lot more than last weeks effort much much better the focus on fewer locations really helped cerseis little chat with margaery was rather chilling wasnt it i was surprised that cersei would so openly threaten margaery like that i guess shes just reached the end of her patience and doesnt want to play nice any more lenas delivery of the whole thing was great really the whole wedding story was brilliant brutal funny and uncomfortable viewing peter dinklage got to take centre stage but it helped that it brought together a lot of of the strongest characters and actors i think sophie turner is doing fine with a character that is supposed to be completely out of her depth but she isnt really drawing me into sansa how long can she and tyrion hide the fact that they arent sharing a bed danys story also continues to be great to watch possibly the most consistently strong story of the whole series love the casting of daario that smile i think jorah might be turning green soon dany seems to be sweeping everyone aside with complete control 2000 men added to her army and daario in her pocket doesnt look like yunkai stands a chance have to agree with sarah that those crows were a lot more unnerving than the actual white walker still not convinced by their old man look doesnt work for me suitably creepy when kept at a distance glowing eyes and all poor sam the slayer seems to be getting some grief for leaving the dragon glass yes hes not stupid but hes definitely a coward i think its fair to say after that encounter hed be so terrified hed just want to grab gilly and make a straight run for the wall without taking time to think the only slight wobble in the episode was at dragonstone with the rather cheesy seduction of gendry by melisandre unfortunately ever since neil marshall revealed how an exec producer pressed him to add nudity to the blackwater episode i cant help but look at scenes like that with a cynical eye but it was interesting that melisandre didnt end up killing gendry not sure whats in store for the poor lad but perhaps davos can keep him alive now that stannis has released him from prison its clear that stannis views davos as his conscience he has doubts and needs davos to express them i wonder how melisandre is going to react to a dissenting voice although i dont think shes ever been openly hostile to davos i cant imagine shell want davos to keep meddling its a bit cruel that we have to wait 2 weeks now for episode 9 which is usually the episode where everything goes to hell "
"387" "TheNorthRemembers" 2013-05-21 " anonnyscouse  i cant justify last weeks talisa scene to me that was about demonstrating the strength of robbs commitment to her all the comments he made i love you and i cant concentrate whilst youre naked etc the juxtaposition was that all she has brought to the party aside from a bum view was that she claims to be pregnant and mysterious and seems to be rather a sly seductress if thats not too strong a description she was clearly confident remaining naked whilst he tried to work i surmise that shes a strong and fairly ironwilled character "
